id,uid,expt_id,duration,true,pred,age,gender,expert,filename
1397,4c082b3c3c72b3c1741c505f253770ba,1,5000,0,1,23,male,0,gan/gan-39.jpg
1398,4c082b3c3c72b3c1741c505f253770ba,1,5000,0,1,23,male,0,gan/gan-21.jpg
1399,9f0cca83115c4fc014073fbc310bea58,2,500,1,0,47,male,0,real-blur/real-blur-8.jpg
1400,9f0cca83115c4fc014073fbc310bea58,2,500,1,0,47,male,0,real-blur/real-blur-20.jpg
1401,9f0cca83115c4fc014073fbc310bea58,2,500,0,1,47,male,0,gan-blur/gan-blur-25.jpg
1402,9f0cca83115c4fc014073fbc310bea58,2,500,1,0,47,male,0,real-blur/real-blur-7.jpg
1403,9f0cca83115c4fc014073fbc310bea58,2,500,0,1,47,male,0,gan-blur/gan-blur-5.jpg
1404,9f0cca83115c4fc014073fbc310bea58,2,500,0,0,47,male,0,gan-blur/gan-blur-24.jpg
1405,f8f609c46b2d586299d84d608b06bac1,2,250,0,1,49,male,0,gan-blur/gan-blur-8.jpg
1406,f8f609c46b2d586299d84d608b06bac1,2,250,1,0,49,male,0,real-blur/real-blur-4.jpg
1407,f8f609c46b2d586299d84d608b06bac1,2,250,1,1,49,male,0,real-blur/real-blur-62.jpg
1408,f8f609c46b2d586299d84d608b06bac1,2,250,0,0,49,male,0,gan-blur/gan-blur-27.jpg
1409,f8f609c46b2d586299d84d608b06bac1,2,250,1,0,49,male,0,real-blur/real-blur-69.jpg
1410,f8f609c46b2d586299d84d608b06bac1,2,250,0,1,49,male,0,gan-blur/gan-blur-3.jpg
1411,f89a3ebcdf31d5c52dc5fcf928594c06,2,5000,0,1,32,male,0,gan-blur/gan-blur-8.jpg
1412,f89a3ebcdf31d5c52dc5fcf928594c06,2,5000,1,0,32,male,0,real-blur/real-blur-7.jpg
1413,f89a3ebcdf31d5c52dc5fcf928594c06,2,5000,1,1,32,male,0,real-blur/real-blur-51.jpg
1414,f89a3ebcdf31d5c52dc5fcf928594c06,2,5000,0,0,32,male,0,gan-blur/gan-blur-13.jpg
1415,f89a3ebcdf31d5c52dc5fcf928594c06,2,5000,0,0,32,male,0,gan-blur/gan-blur-28.jpg
1416,f89a3ebcdf31d5c52dc5fcf928594c06,2,5000,0,0,32,male,0,gan-blur/gan-blur-22.jpg
